keyword,occupation
coding,Computer and Mathematical
programming,Computer and Mathematical
analytics,Computer and Mathematical
nursing,Healthcare Practitioners and Technical
medicine,Healthcare Practitioners and Technical
teaching,Educational Instruction and Library
instruction,Educational Instruction and Library
accounting,Business and Financial Ops
finance,Business and Financial Ops
management,Management
leadership,Management
engineering,Engineering
construction,Engineering
art,"Arts, Design, Entertainment, Sports, and Media"
writing,"Arts, Design, Entertainment, Sports, and Media"
acting,"Arts, Design, Entertainment, Sports, and Media"
selling,Sales and Related
marketing,Sales and Related
studying,Educational Instruction and Library
research,Educational Instruction and Library
veteran,Military Specific
cybersecurity,Computer and Mathematical
dev,Computer and Mathematical
"ceo, founder",Management Occupations
"phd, student",Educational Instruction and Library
graduate,Educational Instruction and Library
ai,Computer and Mathematical
investor,Business and Financial Ops
blogger,"Arts, Design, Entertainment, Sports, and Media"
tedx,"Arts, Design, Entertainment, Sports, and Media"
poetry,"Arts, Design, Entertainment, Sports, and Media"
develop,Computer and Mathematical
entrepreneur,Computer and Mathematical
front end,Computer and Mathematical
dev,Computer and Mathematical
shoot/edit,"Arts, Design, Entertainment, Sports, and Media"
technology,Computer and Mathematical
app,Computer and Mathematical
stack,Computer and Mathematical
blockchain,Computer and Mathematical
infosec,Computer and Mathematical
startup,Business and Financial Ops
javascript,Computer and Mathematical
consultant,Business and Financial Ops
postdoc,Educational Instruction and Library
ml,Computer and Mathematical
