modifier,occupation
software,Computer and Mathematical
computer,Computer and Mathematical
data,Computer and Mathematical
math,Computer and Mathematical
medical,Healthcare Practitioners and Technical
health,Healthcare Practitioners and Technical
education,Educational Instruction and Library
academic,Educational Instruction and Library
business,Business and Financial Ops
finance,Business and Financial Ops
management,Management
executive,Management
civil,Architecture and Engineering
mechanical,Architecture and Engineering
art,"Arts, Design, Entertainment, Sports, and Media"
design,"Arts, Design, Entertainment, Sports, and Media"
entertainment,"Arts, Design, Entertainment, Sports, and Media"
sales,Sales and Related
marketing,Sales and Related
research,Educational Instruction and Library
