Title,Occupation
chief executive,Management
general and operation manager,Management
legislator,Management
advertising and promotion manager,Management
marketing manager,Management
sale manager,Management
public relation manager,Management
fundraising manager,Management
administrative service manager,Management
facility manager,Management
computer and information system manager,Management
financial manager,Management
industrial production manager,Management
purchasing manager,Management
"transportation , storage , and distribution manager",Management
compensation and benefit manager,Management
human resource manager,Management
training and development manager,Management
"farmer , rancher , and other agricultural manager",Management
construction manager,Management
"education and childcare administrator , preschool and day care",Management
"education administrator , kindergarten through secondary",Management
"education administrator , postsecondary",Management
architectural and engineering manager,Management
food service manager,Management
gambling manager,Management
"entertainment and recreation manager , except gamble",Management
lodging manager,Management
medical and health service manager,Management
natural science manager,Management
postmaster and mail superintendent,Management
"property , real estate , and community association manager",Management
social and community service manager,Management
emergency management director,Management
funeral home manager,Management
"personal service manager , all other",Management
"manager , all other",Management
"agent and business manager of artist , performer , and athlete",Business and Financial Ops
"buyer and purchase agent , farm product",Business and Financial Ops
"wholesale and retail buyer , except farm product",Business and Financial Ops
"purchasing agent , except wholesale , retail , and farm product",Business and Financial Ops
"claim adjuster , examiner , and investigator",Business and Financial Ops
"insurance appraiser , auto damage",Business and Financial Ops
compliance officer,Business and Financial Ops
cost estimator,Business and Financial Ops
human resource specialist,Business and Financial Ops
farm labor contractor,Business and Financial Ops
labor relation specialist,Business and Financial Ops
logistician,Business and Financial Ops
project management specialist,Business and Financial Ops
management analyst,Business and Financial Ops
"meeting , convention , and event planner",Business and Financial Ops
fundraiser,Business and Financial Ops
"compensation , benefit , and job analysis specialist",Business and Financial Ops
training and development specialist,Business and Financial Ops
market research analyst and marketing specialist,Business and Financial Ops
"business operation specialist , all other",Business and Financial Ops
accountant and auditor,Business and Financial Ops
appraiser of personal and business property,Business and Financial Ops
appraiser and assessor of real estate,Business and Financial Ops
budget analyst,Business and Financial Ops
credit analyst,Business and Financial Ops
financial and investment analyst,Business and Financial Ops
personal financial advisor,Business and Financial Ops
insurance underwriter,Business and Financial Ops
financial risk specialist,Business and Financial Ops
financial examiner,Business and Financial Ops
credit counselor,Business and Financial Ops
loan officer,Business and Financial Ops
"tax examiner and collector , and revenue agent",Business and Financial Ops
tax preparer,Business and Financial Ops
"financial specialist , all other",Business and Financial Ops
computer system analyst,Computer and Mathematical
information security analyst,Computer and Mathematical
computer and information research scientist,Computer and Mathematical
computer network support specialist,Computer and Mathematical
computer user support specialist,Computer and Mathematical
computer network architect,Computer and Mathematical
database administrator,Computer and Mathematical
database architect,Computer and Mathematical
network and computer system administrator,Computer and Mathematical
computer programmer,Computer and Mathematical
software developer,Computer and Mathematical
software quality assurance analyst and tester,Computer and Mathematical
web developer,Computer and Mathematical
web and digital interface designer,Computer and Mathematical
"computer occupation , all other",Computer and Mathematical
actuary,Computer and Mathematical
mathematician,Computer and Mathematical
operation research analyst,Computer and Mathematical
statistician,Computer and Mathematical
data scientist,Computer and Mathematical
"mathematical science occupation , all other",Computer and Mathematical
"architect , except landscape and naval",Architecture and Engineering
landscape architect,Architecture and Engineering
cartographer and photogrammetrist,Architecture and Engineering
surveyor,Architecture and Engineering
aerospace engineer,Architecture and Engineering
agricultural engineer,Architecture and Engineering
bioengineer and biomedical engineer,Architecture and Engineering
chemical engineer,Architecture and Engineering
civil engineer,Architecture and Engineering
computer hardware engineer,Architecture and Engineering
electrical engineer,Architecture and Engineering
"electronic engineer , except computer",Architecture and Engineering
environmental engineer,Architecture and Engineering
"health and safety engineer , except mining safety engineer and inspector",Architecture and Engineering
industrial engineer,Architecture and Engineering
marine engineer and naval architect,Architecture and Engineering
material engineer,Architecture and Engineering
mechanical engineer,Architecture and Engineering
"mining and geological engineer , include mining safety engineer",Architecture and Engineering
nuclear engineer,Architecture and Engineering
petroleum engineer,Architecture and Engineering
"engineer , all other",Architecture and Engineering
architectural and civil drafter,Architecture and Engineering
electrical and electronic drafter,Architecture and Engineering
mechanical drafter,Architecture and Engineering
"drafter , all other",Architecture and Engineering
aerospace engineering and operation technologist and technician,Architecture and Engineering
civil engineering technologist and technician,Architecture and Engineering
electrical and electronic engineering technologist and technician,Architecture and Engineering
electro - mechanical and mechatronic technologist and technician,Architecture and Engineering
environmental engineering technologist and technician,Architecture and Engineering
industrial engineering technologist and technician,Architecture and Engineering
mechanical engineering technologist and technician,Architecture and Engineering
calibration technologist and technician,Architecture and Engineering
"engineering technologist and technician , except drafter , all other",Architecture and Engineering
surveying and mapping technician,Architecture and Engineering
animal scientist,"Life, Physical, and Social Science"
food scientist and technologist,"Life, Physical, and Social Science"
soil and plant scientist,"Life, Physical, and Social Science"
biochemist and biophysicist,"Life, Physical, and Social Science"
microbiologist,"Life, Physical, and Social Science"
zoologist and wildlife biologist,"Life, Physical, and Social Science"
